id	sex	population	region	dataset
NA12005	M	CEU	EUR	KGP
NA12006	F	CEU	EUR	KGP
NA12043	M	CEU	EUR	KGP
NA12044	F	CEU	EUR	KGP
NA12045	M	CEU	EUR	KGP
NA12046	F	CEU	EUR	KGP
NA12056	M	CEU	EUR	KGP
NA12057	F	CEU	EUR	KGP
NA12058	F	CEU	EUR	KGP
NA12144	M	CEU	EUR	KGP
NA12145	F	CEU	EUR	KGP
NA12146	M	CEU	EUR	KGP
NA12154	M	CEU	EUR	KGP
NA12155	M	CEU	EUR	KGP
NA12156	F	CEU	EUR	KGP
NA12234	F	CEU	EUR	KGP
NA12236	F	CEU	EUR	KGP
NA12239	F	CEU	EUR	KGP
NA12248	M	CEU	EUR	KGP
NA12249	F	CEU	EUR	KGP
NA12264	M	CEU	EUR	KGP
NA12272	M	CEU	EUR	KGP
NA12273	F	CEU	EUR	KGP
NA12274	M	CEU	EUR	KGP
NA12275	F	CEU	EUR	KGP
NA12282	M	CEU	EUR	KGP
NA12283	F	CEU	EUR	KGP
NA12286	M	CEU	EUR	KGP
NA12287	F	CEU	EUR	KGP
NA12329	F	CEU	EUR	KGP
NA12335	M	CEU	EUR	KGP
NA12336	F	CEU	EUR	KGP
NA12340	M	CEU	EUR	KGP
NA12341	F	CEU	EUR	KGP
NA12342	M	CEU	EUR	KGP
NA12343	F	CEU	EUR	KGP
NA12344	M	CEU	EUR	KGP
NA12347	M	CEU	EUR	KGP
NA12348	F	CEU	EUR	KGP
NA12376	F	CEU	EUR	KGP
NA12383	F	CEU	EUR	KGP
NA12386	F	CEU	EUR	KGP
NA12399	M	CEU	EUR	KGP
NA12400	F	CEU	EUR	KGP
NA12413	M	CEU	EUR	KGP
NA12414	F	CEU	EUR	KGP
NA12485	M	CEU	EUR	KGP
NA12489	F	CEU	EUR	KGP
NA12546	M	CEU	EUR	KGP
NA12707	M	CEU	EUR	KGP
NA12716	M	CEU	EUR	KGP
NA12717	F	CEU	EUR	KGP
NA12718	F	CEU	EUR	KGP
NA12739	M	CEU	EUR	KGP
NA12740	F	CEU	EUR	KGP
NA12748	M	CEU	EUR	KGP
NA12749	F	CEU	EUR	KGP
NA12750	M	CEU	EUR	KGP
NA12751	F	CEU	EUR	KGP
NA12752	M	CEU	EUR	KGP
NA12753	F	CEU	EUR	KGP
NA12760	M	CEU	EUR	KGP
NA12761	F	CEU	EUR	KGP
NA12762	M	CEU	EUR	KGP
